X56,X59,X67,X83,X96,X98,X132,X133,X136,X145,X147,X148,X149,X152,X157,X160,X171,X176,X177,X178,X195,X197,X201,X202,X204,X208,X213,X218,X228,X234,X239,X242,X245
-0.03 ,0.07 ,-2.72 ,1.37 ,-1.02 ,-2.18 ,1.02 ,-0.65 ,0.66 ,0.64 ,-1.22 ,0.46 ,-0.35 ,1.77 ,0.72 ,-1.07 ,-0.57 ,1.85 ,0.24 ,-1.52 ,-0.41 ,0.24 ,-0.69 ,1.27 ,-1.81 ,2.92 ,2.19 ,-1.62 ,1.75 ,2.08 ,2.07 ,-0.46 ,2.11 
0.39 ,0.80 ,-2.64 ,2.24 ,-1.13 ,-1.62 ,0.32 ,-1.04 ,-0.26 ,0.32 ,-0.90 ,0.21 ,-0.74 ,1.81 ,0.44 ,-1.93 ,-1.47 ,1.54 ,1.64 ,-1.92 ,0.25 ,-1.04 ,-2.35 ,1.19 ,-2.27 ,1.14 ,1.50 ,-2.16 ,0.79 ,2.07 ,0.98 ,-0.66 ,0.66 
0.41 ,0.80 ,-2.84 ,2.03 ,-1.10 ,-1.77 ,0.60 ,-1.06 ,-0.25 ,0.24 ,-0.97 ,0.47 ,-0.74 ,1.73 ,0.52 ,-1.78 ,-1.65 ,1.84 ,-0.56 ,-2.31 ,-1.25 ,0.24 ,-0.92 ,1.45 ,-1.76 ,2.57 ,1.49 ,-1.41 ,2.21 ,1.40 ,1.89 ,-1.19 ,1.71 
0.42 ,0.54 ,-2.31 ,2.41 ,-0.81 ,-1.92 ,1.03 ,-0.26 ,0.14 ,0.18 ,-0.69 ,0.34 ,-0.51 ,1.74 ,0.72 ,-0.91 ,-0.67 ,1.72 ,0.39 ,-1.47 ,-0.01 ,1.21 ,-0.93 ,1.99 ,-2.29 ,2.83 ,2.00 ,-1.82 ,1.49 ,2.18 ,1.81 ,-0.20 ,1.88 
0.39 ,0.36 ,-2.30 ,2.37 ,-0.82 ,-2.01 ,1.80 ,-0.23 ,0.56 ,-0.08 ,-1.48 ,0.72 ,-0.30 ,1.73 ,1.03 ,-1.13 ,-0.16 ,1.85 ,0.54 ,-1.82 ,-0.05 ,0.33 ,-1.38 ,1.20 ,-2.13 ,2.37 ,2.04 ,-1.72 ,1.40 ,2.12 ,1.90 ,-0.65 ,1.81 
0.24 ,0.58 ,-2.39 ,2.25 ,-0.92 ,-2.07 ,1.45 ,-0.21 ,0.21 ,0.20 ,-0.95 ,0.54 ,-0.27 ,1.61 ,0.94 ,-0.88 ,-0.47 ,1.82 ,0.65 ,-1.42 ,0.12 ,0.73 ,-1.14 ,1.37 ,-2.19 ,2.67 ,2.14 ,-1.84 ,1.53 ,2.49 ,1.71 ,-0.61 ,1.81 
0.36 ,0.32 ,-2.34 ,2.28 ,-0.80 ,-1.72 ,1.19 ,-0.20 ,-0.02 ,0.50 ,-0.58 ,0.60 ,-0.73 ,1.85 ,0.68 ,-0.94 ,-0.71 ,0.83 ,0.73 ,-1.72 ,-0.11 ,-1.68 ,-3.08 ,0.44 ,-1.12 ,0.83 ,1.29 ,-2.38 ,0.65 ,2.10 ,0.39 ,-2.81 ,0.31 
0.41 ,0.54 ,-2.50 ,2.17 ,-1.12 ,-1.86 ,2.14 ,-1.16 ,-0.29 ,-0.05 ,-1.38 ,1.22 ,-0.63 ,1.73 ,0.89 ,-1.46 ,-0.08 ,2.31 ,-0.14 ,-1.77 ,-0.31 ,0.16 ,-1.93 ,1.27 ,-1.66 ,2.72 ,1.82 ,-1.62 ,1.71 ,2.24 ,1.53 ,-1.86 ,1.60 
0.47 ,0.59 ,-2.52 ,2.07 ,-1.12 ,-2.03 ,2.00 ,-1.26 ,-0.19 ,-0.02 ,-1.37 ,1.19 ,-0.64 ,1.79 ,0.85 ,-1.74 ,-0.09 ,1.72 ,0.79 ,-1.06 ,-0.14 ,-0.96 ,-2.44 ,0.60 ,-1.72 ,1.94 ,1.48 ,-2.13 ,0.58 ,2.28 ,0.48 ,-2.26 ,0.99 
0.28 ,0.55 ,-2.51 ,1.91 ,-1.05 ,-2.26 ,1.75 ,-0.70 ,0.04 ,0.13 ,-1.09 ,0.60 ,-0.29 ,1.67 ,0.87 ,-1.59 ,-0.28 ,1.78 ,0.15 ,-1.02 ,-0.04 ,0.79 ,-1.76 ,1.29 ,-1.53 ,1.48 ,1.30 ,-2.89 ,0.50 ,1.49 ,2.10 ,-1.00 ,1.11 
0.43 ,0.32 ,-2.45 ,1.91 ,-0.79 ,-2.04 ,1.17 ,-0.52 ,0.24 ,0.22 ,-0.94 ,0.18 ,-0.41 ,1.81 ,0.52 ,-1.31 ,-1.06 ,1.73 ,0.25 ,-0.96 ,-0.08 ,0.62 ,-1.74 ,1.27 ,-1.41 ,1.51 ,1.41 ,-2.88 ,0.50 ,1.54 ,2.09 ,-1.13 ,1.04 
0.60 ,0.14 ,-1.90 ,1.69 ,-0.72 ,-1.55 ,0.66 ,-1.11 ,0.37 ,0.25 ,-0.59 ,0.20 ,-0.92 ,1.91 ,-0.02 ,-0.81 ,-1.37 ,1.77 ,0.13 ,-1.02 ,-0.09 ,0.44 ,-1.69 ,1.20 ,-1.31 ,1.34 ,1.26 ,-3.06 ,0.56 ,1.59 ,2.03 ,-1.22 ,1.21 
0.49 ,0.45 ,-2.08 ,1.67 ,-0.46 ,-1.66 ,0.89 ,-0.26 ,0.28 ,-0.05 ,-0.64 ,0.26 ,-0.57 ,1.86 ,0.42 ,-0.81 ,-1.42 ,1.35 ,-0.13 ,-1.54 ,0.07 ,-0.47 ,-2.62 ,0.94 ,-1.09 ,1.22 ,1.19 ,-2.95 ,-0.01 ,1.96 ,1.97 ,-1.77 ,0.66 
0.32 ,0.56 ,-2.01 ,1.27 ,-0.68 ,-2.27 ,1.10 ,-0.36 ,0.26 ,0.34 ,-0.90 ,0.61 ,-0.71 ,1.98 ,0.68 ,-0.91 ,-1.01 ,1.47 ,0.16 ,-1.38 ,0.15 ,-0.13 ,-2.54 ,1.06 ,-1.28 ,1.31 ,1.17 ,-2.90 ,0.17 ,1.90 ,2.07 ,-1.78 ,0.56 
0.77 ,0.12 ,-1.79 ,1.83 ,-0.83 ,-1.75 ,0.96 ,-0.96 ,0.25 ,0.36 ,-0.35 ,0.39 ,-0.80 ,1.84 ,0.10 ,-0.77 ,-0.97 ,1.39 ,0.43 ,-1.50 ,0.33 ,-0.12 ,-2.78 ,0.87 ,-1.39 ,1.36 ,1.15 ,-2.70 ,0.22 ,1.91 ,1.90 ,-1.78 ,0.25 
0.24 ,0.21 ,-2.40 ,1.09 ,-0.69 ,-2.13 ,1.38 ,-0.82 ,0.31 ,0.33 ,-1.02 ,0.03 ,0.01 ,1.52 ,0.37 ,-1.49 ,-1.27 ,1.08 ,0.18 ,-1.44 ,0.33 ,-0.58 ,-3.04 ,1.30 ,-1.16 ,1.41 ,1.46 ,-2.65 ,0.02 ,1.93 ,1.48 ,-2.09 ,-0.19 
0.08 ,0.64 ,-2.29 ,2.49 ,-0.80 ,-1.92 ,1.13 ,-0.10 ,0.01 ,0.28 ,-0.77 ,0.24 ,-0.33 ,1.67 ,0.80 ,-0.91 ,-0.37 ,1.84 ,-0.12 ,-1.17 ,-0.01 ,0.84 ,-1.98 ,1.46 ,-1.39 ,1.19 ,1.41 ,-3.02 ,0.49 ,1.83 ,2.18 ,-1.36 ,0.98 
-0.01 ,0.55 ,-2.37 ,2.43 ,-0.73 ,-1.98 ,1.18 ,-0.15 ,-0.07 ,0.16 ,-0.85 ,-0.06 ,-0.19 ,1.52 ,0.82 ,-0.82 ,-0.60 ,1.67 ,0.27 ,-1.21 ,0.04 ,0.23 ,-1.92 ,1.11 ,-1.46 ,1.41 ,1.27 ,-2.96 ,0.25 ,1.64 ,2.06 ,-1.34 ,0.93 
0.12 ,0.15 ,-2.50 ,2.17 ,-0.87 ,-1.74 ,1.41 ,-0.03 ,0.39 ,0.23 ,-1.27 ,0.25 ,-0.20 ,1.86 ,0.78 ,-0.96 ,-0.10 ,1.81 ,0.36 ,-1.25 ,-0.01 ,0.55 ,-1.71 ,1.20 ,-1.49 ,1.46 ,1.30 ,-2.94 ,0.48 ,1.63 ,2.17 ,-1.22 ,1.21 
-0.02 ,0.62 ,-2.19 ,2.44 ,-0.71 ,-1.85 ,1.17 ,-0.05 ,-0.10 ,0.24 ,-0.71 ,0.04 ,-0.20 ,1.61 ,0.75 ,-0.85 ,-0.43 ,1.74 ,0.03 ,-1.15 ,-0.08 ,0.32 ,-1.87 ,1.40 ,-1.34 ,1.18 ,1.38 ,-3.05 ,0.30 ,1.51 ,1.97 ,-1.16 ,1.01 
0.17 ,0.24 ,-2.20 ,1.26 ,-0.43 ,-1.82 ,0.95 ,-0.24 ,0.18 ,0.17 ,-0.82 ,0.34 ,-0.85 ,2.11 ,0.56 ,-0.64 ,-1.41 ,1.34 ,0.58 ,-2.26 ,0.21 ,-1.13 ,-2.46 ,1.29 ,-1.51 ,0.14 ,1.57 ,-1.98 ,0.34 ,1.02 ,0.92 ,-1.65 ,0.44 
0.42 ,-0.27 ,-2.19 ,1.89 ,-0.99 ,-1.78 ,1.33 ,-1.21 ,0.42 ,0.25 ,-0.67 ,0.17 ,-0.76 ,1.87 ,0.04 ,-1.04 ,-0.83 ,2.30 ,0.42 ,-4.00 ,-0.87 ,1.36 ,-2.31 ,-0.83 ,-0.11 ,-0.38 ,0.56 ,-0.04 ,1.36 ,1.19 ,3.17 ,-0.04 ,1.53 
-0.35 ,0.27 ,-2.40 ,1.71 ,-0.82 ,-1.94 ,1.51 ,-0.69 ,-0.18 ,-0.09 ,-0.93 ,-0.15 ,-0.34 ,1.27 ,0.67 ,-1.47 ,-1.07 ,1.80 ,0.05 ,-0.88 ,-0.35 ,0.52 ,-1.44 ,1.70 ,-1.32 ,1.36 ,1.34 ,-2.83 ,0.73 ,1.16 ,2.00 ,-0.82 ,1.45 
-0.25 ,0.61 ,-2.44 ,1.94 ,-0.97 ,-2.39 ,2.39 ,-0.76 ,0.15 ,-0.17 ,-1.58 ,0.67 ,-0.02 ,1.54 ,1.16 ,-1.44 ,-0.15 ,1.30 ,0.59 ,-1.77 ,0.19 ,-0.74 ,-2.30 ,1.71 ,-1.27 ,0.38 ,1.61 ,-2.08 ,0.39 ,1.38 ,0.88 ,-1.02 ,0.49 
-0.33 ,0.48 ,-2.53 ,2.17 ,-0.87 ,-1.96 ,1.38 ,-0.58 ,-0.23 ,-0.09 ,-1.01 ,-0.02 ,-0.23 ,1.23 ,0.84 ,-1.15 ,-1.01 ,1.72 ,0.28 ,-0.96 ,-0.12 ,0.28 ,-1.75 ,1.62 ,-1.45 ,1.26 ,1.26 ,-2.98 ,0.68 ,1.49 ,2.00 ,-1.12 ,1.17 
-0.39 ,0.66 ,-1.81 ,1.69 ,-0.58 ,-2.36 ,1.99 ,-0.86 ,0.80 ,0.14 ,-1.11 ,-0.06 ,-0.02 ,1.52 ,1.16 ,-1.43 ,-0.85 ,1.79 ,0.30 ,-0.92 ,-0.06 ,0.56 ,-1.78 ,1.30 ,-1.52 ,1.40 ,1.32 ,-2.84 ,0.63 ,1.38 ,2.00 ,-0.89 ,1.26 
0.14 ,0.47 ,-1.77 ,1.70 ,-0.42 ,-1.74 ,1.35 ,-1.05 ,0.49 ,0.59 ,-0.62 ,-0.52 ,-0.45 ,1.38 ,0.41 ,-1.06 ,-1.60 ,1.57 ,0.28 ,-1.37 ,0.11 ,-0.31 ,-2.48 ,0.63 ,-1.24 ,1.37 ,1.59 ,-2.79 ,-0.23 ,2.13 ,1.78 ,-1.98 ,0.55 
-0.18 ,0.73 ,-2.02 ,1.61 ,-0.63 ,-2.39 ,1.59 ,-0.37 ,0.75 ,0.03 ,-1.21 ,-0.12 ,-0.05 ,1.62 ,1.14 ,-0.84 ,-0.92 ,1.66 ,0.48 ,-1.12 ,-0.13 ,0.29 ,-1.88 ,1.20 ,-1.34 ,1.24 ,1.09 ,-2.93 ,0.43 ,1.61 ,2.12 ,-1.37 ,1.14 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
